,species,country_of_origin,altitude_mean_meters,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,clean_cup,quakers,category_one_defects,category_two_defects,total_cup_points
13,Arabica,United States (Hawaii),185.80608,2009,Natural,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,0.0,10.0,0,0,2,87.92
14,Arabica,Ethiopia,1635.0,2010,Natural,8.25,8.33,8.5,8.25,8.58,8.75,9.33,9.33,0.05,10.0,0,0,2,87.83
15,Arabica,United States,2080.0,2014,Washed,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,0.0,10.0,0,0,0,87.58
16,Arabica,Indonesia,1500.0,,Semi-washed,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,0.03,10.0,0,0,0,87.42
17,Arabica,Ethiopia,,2009,Natural,8.17,8.33,8.25,8.33,8.42,8.33,9.33,9.33,0.05,10.0,0,0,2,87.33
18,Arabica,China,1450.0,2015,Washed,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,0.1,10.0,0,0,0,87.25
19,Arabica,Ethiopia,1850.0,2014,Natural,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,0.0,10.0,0,0,8,87.25
20,Arabica,United States,2019.0,2014,Washed,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,0.0,10.0,0,0,0,87.25
21,Arabica,Costa Rica,1300.0,2014,Washed,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,0.11,10.0,0,0,2,87.17
22,Arabica,Mexico,1320.0,2012,Washed,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,0.13,10.0,0,0,0,87.17
23,Arabica,United States,2112.0,2014,Washed,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,0.0,10.0,0,0,0,87.08
24,Arabica,Ethiopia,,2013,Natural,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,0.11,10.0,0,0,1,87.08
25,Arabica,Brazil,1250.0,2011,Natural,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,0.12,10.0,0,0,2,86.92
26,Arabica,Ethiopia,,2009,Washed,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,0.05,10.0,0,0,2,86.92
27,Arabica,Uganda,1950.0,2013,Washed,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,0.12,10.0,0,0,1,86.83
28,Arabica,Honduras,1400.0,2016,Natural,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,0.1,10.0,0,0,3,86.67
29,Arabica,Taiwan,1200.0,2015,Honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,0.0,10.0,0,0,0,86.58
30,Arabica,Nicaragua,,,Natural,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,0.08,10.0,0,0,2,86.58
31,Arabica,"Tanzania, United Republic Of",,2012,Natural,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,0.11,10.0,0,0,1,86.5
32,Arabica,Brazil,1300.0,2011,Natural,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,0.12,10.0,0,0,2,86.42
33,Arabica,Costa Rica,1300.0,2015,Washed,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,0.0,10.0,0,0,0,86.33
34,Arabica,Ethiopia,1775.0,2014,Natural,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,0.1,10.0,0,0,3,86.25
35,Arabica,Kenya,1800.0,2013,Washed,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,0.12,10.0,0,0,1,86.25
36,Arabica,United States (Hawaii),,2012,Natural,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,0.0,10.0,0,1,4,86.25
37,Arabica,United States (Hawaii),,2010,Natural,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,0.0,10.0,0,2,1,86.25
38,Arabica,Ethiopia,,2009,Natural,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,0.1,10.0,0,0,2,86.25
39,Arabica,United States,1941.0,2014,Washed,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,0.0,10.0,0,0,0,86.17
40,Arabica,Thailand,1300.0,2012,Washed,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,0.1,10.0,0,1,9,86.17
41,Arabica,Brazil,12.0,2010,Natural,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,0.08,10.0,0,0,2,86.17
42,Arabica,Brazil,12.0,2010,Washed,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,0.01,10.0,0,0,3,86.17
43,Arabica,Taiwan,1000.0,2015,Semi-washed,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,0.12,10.0,0,0,0,86.08
44,Arabica,Kenya,1754.0,2014,Natural,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,0.11,10.0,0,0,2,86.08
45,Arabica,Brazil,1250.0,2011,Semi-washed,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,0.11,10.0,0,0,2,86.08
46,Arabica,Uganda,,2014,Semi-washed,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,0.0,10.0,0,0,0,86.0
47,Arabica,Colombia,1200.0,2013,Washed,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,0.12,10.0,0,1,1,86.0
48,Arabica,Kenya,1860.0,2013,Washed,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,0.11,10.0,0,0,1,86.0
49,Arabica,Uganda,1650.0,2012,Washed,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,0.1,10.0,0,0,0,86.0
50,Arabica,Ethiopia,1750.0,2009,Natural,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,0.01,10.0,0,0,4,86.0
51,Arabica,United States (Hawaii),130.06425600000003,2009,Natural,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,0.0,10.0,0,0,0,86.0
52,Arabica,Guatemala,,2016,Washed,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,0.1,10.0,1,0,3,85.92
53,Arabica,Uganda,1650.0,2013,Natural,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,0.12,10.0,0,0,0,85.92
54,Arabica,Colombia,1800.0,2013,Washed,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,0.0,10.0,0,1,0,85.92
55,Arabica,Panama,1600.0,2017,Washed,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,0.08,10.0,1,0,0,85.83
56,Arabica,Ethiopia,1900.0,2014,Washed,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,0.1,10.0,0,0,4,85.83
57,Arabica,Guatemala,464.51520000000005,2012,Washed,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,0.12,10.0,0,0,3,85.83
58,Arabica,Guatemala,431.999136,2012,Washed,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,0.1,10.0,0,0,1,85.83
59,Arabica,Ethiopia,,2017,Natural,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,0.09,10.0,4,0,7,85.75
60,Arabica,Peru,,2013,Washed,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,0.1,10.0,0,4,6,85.75
61,Arabica,Papua New Guinea,1700.0,2012,Washed,8.33,8.42,7.83,8.33,8.0,8.25,9.33,10.0,0.12,9.33,0,0,1,85.75
62,Arabica,El Salvador,1500.0,2013,Washed,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,0.1,10.0,0,0,3,85.58
63,Arabica,El Salvador,1350.0,2012,Semi-washed,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,0.11,10.0,0,0,0,85.58
64,Arabica,United States (Hawaii),,2012,Natural,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,0.0,10.0,0,0,1,85.58
65,Arabica,Panama,1680.0,2014,Natural,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,0.09,10.0,0,2,2,85.5
66,Arabica,Kenya,1900.0,2014,Natural,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,0.1,10.0,0,0,3,85.5
67,Arabica,Ethiopia,1900.0,2015,Natural,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,0.12,10.0,0,0,7,85.5
68,Arabica,Uganda,1600.0,2013,Washed,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,0.12,10.0,0,0,1,85.5
69,Arabica,Guatemala,527.6892672,2013,Washed,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,0.11,10.0,0,0,1,85.5
70,Arabica,Ethiopia,1900.0,2015,Washed,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,0.1,10.0,0,0,18,85.42
71,Arabica,Uganda,1950.0,2013,Washed,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,0.12,10.0,0,0,5,85.42
72,Arabica,United States (Hawaii),,2012,Natural,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,0.0,10.0,0,4,6,85.42
73,Arabica,Brazil,1250.0,2011,Semi-washed,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,0.11,10.0,0,0,1,85.42
74,Arabica,El Salvador,1400.0,2009,Washed,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,0.01,10.0,0,0,0,85.42
75,Arabica,China,1700.0,2015,Natural,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,0.1,10.0,0,0,0,85.33
76,Arabica,Guatemala,1770.0,2014,Natural,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,0.11,10.0,0,0,1,85.33
77,Arabica,Costa Rica,1300.0,2014,Washed,7.92,8.08,8.0,7.92,8.0,8.08,10.0,9.33,0.0,10.0,0,0,0,85.33
78,Arabica,Costa Rica,1300.0,2014,Washed,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,0.1,10.0,0,0,2,85.33
79,Arabica,Kenya,1600.0,2012,Washed,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,0.0,10.0,0,0,2,85.33
80,Arabica,Kenya,1200.0,2012,Washed,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,0.0,10.0,0,0,6,85.33
81,Arabica,Ethiopia,,2009,Natural,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,0.05,10.0,0,0,2,85.33
82,Arabica,Ethiopia,,2009,Natural,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,0.1,10.0,0,0,3,85.33
83,Arabica,Guatemala,,2016,Washed,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,0.1,10.0,2,0,2,85.25
84,Arabica,Colombia,1550.0,2015,Washed,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,0.11,10.0,0,0,0,85.25
85,Arabica,Colombia,1550.0,2014,Natural,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,0.12,10.0,0,0,2,85.25
86,Arabica,Indonesia,1325.0,2012,Semi-washed,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,0.11,10.0,0,0,3,85.17
87,Arabica,Guatemala,1400.0,2012,Washed,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,0.0,10.0,0,0,7,85.17
88,Arabica,Ethiopia,,2016,Natural,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,0.11,10.0,1,0,8,85.08
89,Arabica,Colombia,2560.0,2015,Natural,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,0.0,10.0,0,0,0,85.08
90,Arabica,Ethiopia,1700.0,2014,Natural,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,0.1,10.0,0,2,7,85.08
91,Arabica,United States (Hawaii),,2014,Natural,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,0.11,10.0,0,2,2,85.08
92,Arabica,Colombia,2136.0,2012,Natural,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,0.11,10.0,0,0,8,85.08
93,Arabica,United States (Hawaii),,2010,Natural,8.08,8.17,7.92,8.0,8.08,8.0,9.33,10.0,0.01,9.33,0,1,7,85.08
94,Arabica,Ethiopia,,2010,Washed,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,0.0,10.0,0,0,5,85.08
95,Arabica,United States (Hawaii),,,Natural,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,0.0,10.0,0,0,0,85.08
96,Arabica,Uganda,1800.0,2016,Washed,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,0.11,10.0,0,0,1,85.0
97,Arabica,Colombia,,2016,Washed,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,0.0,10.0,0,0,3,85.0
98,Arabica,Costa Rica,1900.0,2016,Washed,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,0.12,10.0,1,1,1,85.0
99,Arabica,Mexico,1300.0,2015,Washed,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,0.09,10.0,0,0,3,85.0
100,Arabica,Kenya,1.0,2015,Washed,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,0.11,10.0,5,0,7,85.0
101,Arabica,Kenya,1580.0,2012,Washed,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,0.0,10.0,0,0,5,85.0
102,Arabica,Brazil,1100.0,2012,Natural,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,0.12,10.0,0,0,3,85.0
103,Arabica,Mexico,1400.0,2010,Washed,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,0.0,10.0,0,0,0,85.0
104,Arabica,United States (Hawaii),,,Natural,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,0.0,10.0,0,0,1,85.0
105,Arabica,Guatemala,404.12822400000005,2009,Washed,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,0.04,10.0,0,0,1,85.0
106,Arabica,Colombia,,2016,Washed,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,0.0,10.0,6,1,2,84.92
107,Arabica,Colombia,1775.0,2015,Washed,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,0.12,10.0,0,0,1,84.92
108,Arabica,Taiwan,800.0,2015,Semi-washed,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,0.11,10.0,0,0,0,84.92
109,Arabica,"Tanzania, United Republic Of",1620.0,2014,Washed,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,0.12,10.0,0,0,2,84.92
110,Arabica,Colombia,1775.0,2012,Washed,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,0.11,10.0,0,0,3,84.92
111,Arabica,Mexico,1200.0,2012,Semi-washed,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,0.11,10.0,0,0,0,84.92
112,Arabica,Brazil,1200.0,2011,Natural,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,0.11,10.0,0,0,2,84.92
113,Arabica,Brazil,1000.0,2011,Natural,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,0.12,10.0,0,0,2,84.92
114,Arabica,Kenya,,2009,Washed,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,0.06,10.0,0,1,9,84.92
115,Arabica,Taiwan,350.0,2016,Natural,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,0.0,10.0,0,0,0,84.83
116,Arabica,Uganda,1650.0,2013,Natural,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,0.12,10.0,0,0,1,84.83
117,Arabica,United States (Hawaii),,2012,Natural,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,0.0,10.0,0,3,15,84.83
118,Arabica,Ethiopia,1750.0,2009,Natural,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,0.1,10.0,0,0,2,84.83
119,Arabica,Ethiopia,1750.0,2009,Washed,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,0.1,10.0,0,0,4,84.83
120,Arabica,Thailand,,2015,Honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,0.12,10.0,0,0,0,84.75
121,Arabica,Kenya,1800.0,2014,Washed,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,0.13,10.0,0,0,0,84.75
122,Arabica,Honduras,1450.0,2014,Washed,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,0.11,10.0,0,0,4,84.75
123,Arabica,El Salvador,1200.0,2010,Natural,7.75,8.0,8.0,8.33,7.67,7.92,10.0,9.33,0.15,10.0,0,0,3,84.75
124,Arabica,Nicaragua,925.0,2009,Washed,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,0.18,10.0,0,0,2,84.75
125,Arabica,El Salvador,1350.0,2016,Washed,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,0.0,10.0,0,0,2,84.67
126,Arabica,Indonesia,1200.0,2016,Washed,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,0.12,10.0,0,0,7,84.67
127,Arabica,Japan,170.0,,Honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,0.12,10.0,0,0,0,84.67
128,Arabica,Costa Rica,1150.0,2015,Washed,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,0.1,10.0,0,0,2,84.67
129,Arabica,Guatemala,1600.0,2015,Washed,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,0.1,10.0,0,0,1,84.67
130,Arabica,Costa Rica,1750.0,2014,Washed,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,0.12,10.0,0,0,0,84.67
131,Arabica,Ethiopia,1900.0,2014,Washed,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,0.1,10.0,0,0,3,84.67
132,Arabica,Costa Rica,1750.0,2014,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,0.08,10.0,0,0,1,84.67
133,Arabica,Costa Rica,1200.0,2014,Washed,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,0.11,10.0,0,0,4,84.67
134,Arabica,Costa Rica,,2012,Washed,8.08,7.83,7.75,7.83,7.92,8.0,10.0,9.33,0.0,10.0,0,1,10,84.67
135,Arabica,Taiwan,1000.0,2013,Washed,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,0.11,10.0,0,0,0,84.67
136,Arabica,Colombia,1550.0,2013,Washed,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,0.0,10.0,0,0,0,84.67
137,Arabica,Kenya,2000.0,2012,Washed,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,0.11,10.0,0,0,0,84.67
138,Arabica,Guatemala,399.48307200000005,2012,Washed,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,0.11,10.0,0,0,4,84.67
139,Arabica,Guatemala,464.51520000000005,2012,Washed,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,0.12,10.0,0,0,4,84.67
140,Arabica,Mexico,1200.0,2012,Washed,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,0.13,10.0,0,0,3,84.67
141,Arabica,Uganda,1775.0,2012,Washed,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,0.11,10.0,0,0,3,84.67
142,Arabica,Peru,,,Washed,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,0.0,10.0,0,0,3,84.67
143,Arabica,Ethiopia,1750.0,2009,Washed,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,0.2,10.0,0,0,3,84.67
144,Arabica,Kenya,1754.0,,Washed,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,0.11,10.0,0,0,5,84.58
145,Arabica,Colombia,1500.0,2016,Washed,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,0.0,10.0,0,0,4,84.58
146,Arabica,Colombia,,2016,Washed,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,0.0,10.0,1,0,5,84.58
147,Arabica,Kenya,1800.0,2013,Washed,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,0.1,10.0,0,0,2,84.58
148,Arabica,Guatemala,464.51520000000005,2014,Washed,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,0.11,10.0,0,0,1,84.58
149,Arabica,Guatemala,371.61216,2014,Washed,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,0.09,10.0,0,0,0,84.58
150,Arabica,Colombia,1550.0,2013,Washed,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,0.0,10.0,0,0,0,84.58
151,Arabica,Colombia,1750.0,2013,Washed,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,0.0,10.0,0,0,5,84.58
152,Arabica,Kenya,,2013,Washed,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,0.0,10.0,0,0,0,84.58
153,Arabica,Colombia,1750.0,2012,Washed,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,0.0,10.0,0,0,2,84.58
154,Arabica,Costa Rica,1575.0,2012,Semi-washed,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,0.12,10.0,0,0,2,84.58
155,Arabica,Colombia,1800.0,2012,Washed,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,0.11,10.0,0,0,6,84.58
156,Arabica,Brazil,1300.0,2011,Semi-washed,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,0.12,10.0,0,0,2,84.58
157,Arabica,Brazil,1100.0,2011,Semi-washed,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,0.11,10.0,0,0,1,84.58
158,Arabica,Costa Rica,1200.0,2017,Washed,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,0.1,10.0,0,0,2,84.5
159,Arabica,Uganda,1750.0,2016,Washed,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,0.11,10.0,0,0,1,84.5
160,Arabica,China,1680.0,2015,Washed,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,0.1,10.0,0,0,1,84.5
161,Arabica,Costa Rica,1700.0,2014,Washed,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,0.11,10.0,0,0,0,84.5
162,Arabica,Colombia,1800.0,2015,Washed,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,0.12,10.0,0,1,0,84.5
163,Arabica,China,1100.0,2013,Washed,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,0.0,10.0,0,0,2,84.5
164,Arabica,Guatemala,399.48307200000005,2013,Washed,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,0.11,10.0,0,0,2,84.5
165,Arabica,Kenya,2000.0,2012,Washed,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,0.11,10.0,0,0,0,84.5
166,Arabica,Mexico,1350.0,2012,Washed,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,0.12,10.0,0,0,0,84.5
167,Arabica,Mexico,1500.0,2012,Washed,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,0.11,10.0,0,0,4,84.5
168,Arabica,Guatemala,,2012,Washed,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,0.11,10.0,0,0,2,84.5
169,Arabica,Brazil,,,Semi-washed,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,0.0,10.0,0,0,4,84.5
170,Arabica,Brazil,,,Natural,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,0.0,10.0,0,2,0,84.5
171,Arabica,Costa Rica,1300.0,2016,Washed,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,0.1,10.0,0,0,3,84.42
172,Arabica,Indonesia,1400.0,2017,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,0.0,10.0,0,0,3,84.42
173,Arabica,Colombia,,2015,Natural,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,0.0,10.0,0,0,1,84.42
174,Arabica,Colombia,1775.0,2014,Washed,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,0.0,10.0,0,0,3,84.42
175,Arabica,Taiwan,1200.0,2012,Washed,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,0.11,10.0,0,0,0,84.42
176,Arabica,United States (Hawaii),,2012,Natural,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,0.11,10.0,0,0,1,84.42
177,Arabica,Mexico,900.0,2012,Washed,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,0.12,10.0,0,2,4,84.42
178,Arabica,Ethiopia,,2009,Natural,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,0.2,10.0,0,0,2,84.42
179,Arabica,Kenya,1800.0,2017,Washed,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,0.11,10.0,0,0,4,84.33
180,Arabica,Honduras,1500.0,2016,Washed,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,0.1,10.0,0,0,3,84.33
181,Arabica,Colombia,,2016,Washed,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,0.0,10.0,3,0,5,84.33
182,Arabica,Honduras,1500.0,2016,Washed,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,0.11,10.0,1,0,2,84.33
183,Arabica,Colombia,,2016,Washed,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,0.0,10.0,2,0,4,84.33
184,Arabica,Colombia,442.0,2015,Natural,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,0.11,10.0,0,6,0,84.33
185,Arabica,Colombia,1800.0,2013,Washed,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,0.0,10.0,0,0,0,84.33
