species,country_of_origin,altitude_mean_meters,harvest_year,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,clean_cup,quakers,category_one_defects,category_two_defects,total_cup_points,predicted_score,error,shap_aroma,shap_flavor,shap_aftertaste,shap_acidity,shap_body,shap_balance,shap_uniformity,shap_sweetness,shap_moisture,shap_clean_cup,shap_quakers,shap_category_one_defects,shap_category_two_defects,top_feature
Arabica,Guatemala,1770.0,2014,Natural,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,0.11,10.0,0,0,1,85.33,84.39146666666649,-0.9385333333335097,0.1270657260153829,0.5801435940672888,0.487615892357661,-0.03164560488574979,0.14365316441827197,0.5647849670520757,0.10143455347010553,0.09860384731169067,-0.003816533269147162,0.1523221893357835,0.0030210549004598642,0.0023903601059132628,-0.006876108075994994,flavor
Arabica,Taiwan,,2014,Natural,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,0.0,10.0,0,0,0,83.92,83.93946666666683,0.019466666666829724,0.06477034541404662,0.626873063910065,0.10526582546637286,0.1318941022153286,0.1326867226305406,0.3388847290296398,0.11428256564302726,0.0947740346938544,0.014934452074841684,0.1446701053768773,0.006089695832344006,0.0022682890162343573,-0.010696828499434763,flavor
Arabica,Taiwan,850.0,2014,Semi-washed,7.33,7.17,7.08,7.08,8.33,8.25,10.0,9.33,0.0,10.0,0,0,0,81.58,81.63579999999989,0.05579999999989127,-0.11900948338155162,-1.4509382728421236,0.0679593971630831,-0.2785083480746939,0.24680396575324792,0.7241678433501563,0.1978805632617453,-0.35899258762150943,0.003348611951646591,0.41666939046674734,0.0015141357253202552,0.005400279230857618,0.006734941154143565,flavor
Arabica,Mexico,940.0,2012,Semi-washed,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,0.11,10.0,0,0,4,81.67,81.78259999999989,0.11259999999988679,0.12068824132947423,0.4540969028028277,-0.23465537329911892,-0.258308067169449,0.07023838934139727,-0.4953728201452083,-0.28843794633962666,0.09152532256326536,0.00456116897796437,0.13438134287193895,0.0012157409971025514,0.0022832908017907908,0.007614243404719557,balance
Arabica,Mexico,1150.0,2012,Washed,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,0.12,10.0,0,0,0,82.58,82.41839999999989,-0.16160000000010655,0.08904294698944211,0.48893476613719045,0.190947966374666,0.08792743298843417,0.1306552675102765,-1.0665923064974556,0.09156119523270936,0.09184078307743804,0.0036827869784642514,0.14257744540352532,0.0009154464116101901,0.0024169481674087066,-0.008280242636650384,balance
Arabica,"Tanzania, United Republic Of",1700.0,2014,Washed,7.5,7.5,7.5,7.5,7.5,7.58,10.0,10.0,0.12,10.0,0,0,0,82.67,82.46441026455041,-0.20558973544959258,-0.13477425526340167,0.19890409210444115,0.010084664039428856,-0.08881745962574877,-0.10749279948124915,0.10877052791122788,0.08752070326470653,0.09047445349208373,-0.006628135201308979,0.1344803194869793,0.0004430632195157298,0.002102583261125077,-0.0034270565204460117,flavor
Arabica,Taiwan,775.0,2014,Natural,7.5,7.58,7.67,7.33,7.5,7.75,10.0,10.0,0.0,10.0,0,0,9,82.92,82.98006666666667,0.060066666666671154,-0.10577972853085085,0.3296667060486482,0.21224391617520866,-0.2663651236566683,-0.08251732981816073,0.39973805338544144,0.09005989079756736,0.08466995998761039,0.00859137846373172,0.1387625535108673,0.0017031818333268828,0.002885290465711975,-0.006361645858693939,balance
Arabica,Costa Rica,1200.0,2014,Washed,7.83,7.33,7.08,7.08,7.33,7.5,10.0,10.0,0.12,10.0,0,1,2,81.5,81.55993333333328,0.05993333333327655,0.23015393723990182,-1.2400928604783035,0.01605451057891137,-0.25586289798407286,-0.11715213472100408,0.15632757171088155,0.16397864593354983,0.07456970348028927,0.0018449481382385446,0.3558996833195304,0.0007866099880817544,-0.0050379963648334095,0.005694048629227689,flavor
Arabica,Colombia,1750.0,2012,Washed,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,0.0,10.0,0,0,1,83.33,83.38679999999988,0.056799999999881834,-0.08961071818171204,0.5320821953122656,0.21576447960071188,-0.015751238799106542,0.12797318937078916,0.09680425555626429,0.10216136840052804,0.08859788383018882,0.01744458774464317,0.13712845684165273,0.0008731279282041961,0.002256714575699904,-0.0016938660430806385,flavor
Arabica,Colombia,1300.0,2013,Washed,7.58,7.33,7.17,7.33,7.25,8.58,10.0,10.0,0.1,10.0,0,0,2,82.75,82.09466666666667,-0.6553333333333313,0.06354385386469333,-1.2782529397149784,0.07735020359653927,-0.1280651370207617,-0.17166667889843695,0.7263483994465553,0.16559590359114904,0.08159222559427275,0.0007458835973364208,0.37177942977163714,0.0012421830135746848,0.005486746705637764,0.006197029256518831,flavor
Arabica,Colombia,1775.0,2013,Washed,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,0.11,10.0,0,1,1,83.0,81.5891333333333,-1.4108666666667062,0.14229756574901398,-0.11847690887942884,-0.1451972919693193,0.006468763825494074,0.08308793776975679,-0.889978410202627,0.09152662339011294,0.08574940713015503,0.007237561590177337,0.16318891179405096,-0.0003530908075218636,-0.013262329361147655,0.004075029441697097,balance
Arabica,Costa Rica,1300.0,2014,Washed,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,0.1,10.0,0,0,2,85.33,84.10766666666649,-1.2223333333335091,0.21903387079927775,0.4228826752839762,0.09346870146381746,-0.008713418082889463,0.21327088954353837,0.6378625578521837,0.11058827742565386,0.09181767771486492,-0.007760878404461849,0.14398091113568656,0.0036095152070156136,0.003470782975605985,0.011385539889484597,balance
Arabica,Mexico,1100.0,2012,Washed,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10.0,0.11,10.0,0,0,3,79.92,79.95846666666672,0.038466666666721494,-0.10640876863175161,-1.7508251571533482,-0.0034345407787057343,-0.2100776250068639,0.05341499244657865,-0.16901584960747293,-0.5461599643025594,0.11982746328010745,0.013522905800636148,0.37509544311364734,0.006091576172973454,0.008835890491805443,-0.005169263021320123,flavor
Arabica,Brazil,905.0,2015,Honey,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,0.11,10.0,2,0,2,82.83,82.68673333333328,-0.14326666666671883,0.0846356373262266,0.33515620351848985,0.15703327719418825,-0.04526839061453678,-0.05384689014224541,-0.2771696366710717,0.08669298024615951,0.0917300596906447,0.001369532704734572,0.1332628746829559,-0.005911421440032329,0.0020434637001048583,0.004236079274800395,flavor
Arabica,Mexico,1400.0,2013,Washed,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,0.12,10.0,0,0,9,81.58,82.2378333333335,0.6578333333334996,0.0999184960099335,0.22316772738640606,-0.04166722870321488,-0.04061398087937371,-0.24873381520664406,-0.2334993935407813,0.07935726214250323,0.09855114169446741,-0.0008644315762173245,0.1343184688852768,0.00014192430660927882,0.0020813955582987247,-0.0070937966068555305,body
Arabica,Mexico,1300.0,2013,Washed,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,0.12,10.0,0,0,6,83.25,83.18489999999981,-0.06510000000018579,-0.03156051305625197,0.6124660091768501,0.01654129515781589,-0.09554909106154867,0.06500941183302794,0.11510514078302339,0.09406720222785356,0.09574724777899295,-0.006324888397056853,0.13584609572654124,-0.0003610321415022583,0.0029637280185037633,0.008179830090822567,flavor
Arabica,Colombia,,2016,Washed,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,0.0,10.0,2,1,0,83.83,83.86736666666667,0.03736666666667077,0.1515741997651183,0.5405610908225775,-0.013722037577844307,0.12097548297277132,0.1386487123336695,0.4415002514226095,0.11308841064707305,0.10622772962026242,0.008252930893116005,0.14317433061584275,-0.04087226752646668,0.0003479751604845843,-0.015159706345475948,flavor
Arabica,Mexico,940.0,2012,Washed,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,0.12,10.0,0,0,1,82.0,82.00366666666652,0.003666666666518381,0.16207620836681236,-1.1001515976865859,0.11936722749437223,0.037477896239376966,-0.0233142888342472,0.019638464932662955,0.15843656969155692,0.07914255828812225,-0.006770263097451194,0.3702579761674533,0.0004931268536098052,0.004800161853320126,0.009443062534747306,flavor
Arabica,Guatemala,371.61216,2014,Washed,7.33,7.0,6.83,7.17,7.17,7.17,9.33,9.33,0.1,9.33,0,1,2,77.33,78.3154333333333,0.9854333333333045,-0.031004781459525965,-1.8732036744692069,-0.7602846416388988,-0.12271595026287577,-0.07476047531527173,-0.376883874222607,-0.268695539226272,-0.4233347312035531,-0.03195013653638582,0.08606860318539772,0.0013079677568374063,0.015135810617325973,0.0029851922454472977,flavor
Arabica,Brazil,,2014,Natural,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,0.12,10.0,0,0,1,82.17,82.09511111111091,-0.07488888888909173,0.01870358458004316,0.17888376060991254,-0.03474900177742946,-0.26031751136111336,-0.03045831604624622,-0.24918586176776286,0.07865119629327093,0.09280474489435783,-0.0020184851268988963,0.1303937502752732,0.0003851523827789488,0.0022627232651005733,-0.0030141889731038164,acidity
Arabica,Mexico,1450.0,2012,Washed,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,0.12,10.0,0,0,0,82.42,82.24670000000009,-0.1732999999999123,0.1859889339752469,0.22686732132917184,-0.03930786030292795,0.10634744745323031,-0.21475410467886757,-0.5096585066421929,0.08230426930891332,0.095121307074911,0.004438346123071118,0.13618943637440192,0.0001431676151813927,0.0024282281421740574,-0.0021775496352404995,balance
Arabica,Taiwan,250.0,2013,Semi-washed,7.25,7.25,7.25,7.08,7.17,7.08,10.0,10.0,0.11,10.0,0,0,0,80.08,80.03906666666674,-0.04093333333325688,-0.13555941314902586,-1.5364375165612512,0.045632250283743375,-0.181734642731126,-0.14024326385051714,-0.7326622963349216,0.11910626342864679,0.07274731176090962,0.0014385969282336136,0.35879660191050033,1.285539286649407e-05,0.006375802913955843,-0.011175447188250535,flavor
Arabica,Guatemala,399.48307200000005,2013,Washed,7.33,7.33,7.0,7.17,7.17,7.17,10.0,10.0,0.11,10.0,0,0,2,80.17,80.35400000000003,0.18400000000002592,-0.06725390092156727,-1.2786055453764864,-0.3526612254606399,-0.1460796641266051,-0.13321379748122095,-0.46454116432403786,0.16180635586280226,0.08736933522406944,0.003815840532256681,0.34431498964982804,0.00023854188018863478,0.00784703454660884,0.01819363613185665,flavor
Arabica,Indonesia,1300.0,2017,Washed,7.5,7.5,7.42,7.42,7.5,7.42,10.0,10.0,0.15,10.0,0,0,3,82.08,82.19193396825388,0.11193396825387936,-0.06549933657788871,0.19051809126786132,-0.0304204380528258,-0.10342933159189598,-0.027560423230167896,-0.2519757688479702,0.07958159708829733,0.095787289442039,-0.002768518726579564,0.1316164886539177,-0.00022747947550529467,0.0020071530534111056,0.0015350813883521375,balance
Arabica,Colombia,1650.0,2014,Washed,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,0.0,10.0,0,2,0,83.5,83.39616666666672,-0.10383333333328437,0.1063072722088997,0.3868350974958939,-0.21101391293041008,-0.10993835334941249,0.1912198322494757,0.5170466639426982,0.09434245165663087,0.11008297265929239,0.003937220630661824,0.1359752767508788,0.0028487714540014887,-0.004069354810892056,-0.00017683515397852229,balance
Arabica,Guatemala,399.48307200000005,2012,Washed,7.5,7.0,6.83,7.5,7.17,7.33,8.67,8.67,0.11,8.67,0,0,8,76.33,77.22966666666665,0.8996666666666471,0.054327644017668035,-2.0177381629261473,-0.7115015080733573,0.02841073718808808,-0.05681730480192276,-0.17255639204172338,-0.7072260856511017,-0.4276029474422624,-0.0038865571981326953,-0.9493913785725115,0.00048281504319258416,0.018136666459384884,0.0022595768025961602,flavor
Arabica,Mexico,800.0,2012,Washed,7.0,6.83,6.83,7.42,7.33,7.17,10.0,10.0,0.13,10.0,0,0,30,79.42,79.15923333333333,-0.2607666666666688,-0.12454277171224336,-2.1895072303260403,-0.9093051680061679,0.011988002584032511,-0.025883776065224476,-0.4018370110443223,0.13358230993975667,0.0892264182440262,0.009116949738604071,0.3798144088056925,0.00048244366650642854,0.01908732691156145,-0.005758133265747409,flavor
Arabica,Uganda,1650.0,2012,Washed,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,0.1,10.0,0,0,0,86.0,85.72526666666666,-0.2747333333333444,0.20739126024057242,1.5443495406789032,0.500497189588755,0.2420981198041723,0.1333617144024293,0.5426868309532724,0.09492997728112826,0.13896946791803175,0.0031124114518781493,0.14559295884484796,0.0010610247445068939,0.00024381818150419094,-0.0017972112862735417,flavor
Arabica,Brazil,1300.0,2011,Natural,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,0.12,10.0,0,0,2,86.42,86.22756666666642,-0.19243333333358237,0.2938252124170221,1.8474629216637926,1.0229847184795322,-0.06803276539706171,0.12149051453513321,0.481347133448636,0.10533709594293363,0.1054105804416575,-0.015431547419140134,0.14352035905646374,0.0019020310946250272,0.0032702905543417243,0.011710557985801976,flavor
Arabica,Brazil,1000.0,2014,Natural,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,0.0,10.0,0,0,0,83.0,83.1491666666666,0.14916666666660205,0.08384197827915804,0.5310560466216394,0.2587586922849562,-0.05666475335819091,-0.10629716185955382,-0.0840341028638847,0.0952129066735135,0.09212065334769944,0.01666823346851204,0.13489384174025873,0.0009979719857641455,0.0029321648415874995,0.006910631642272849,flavor
Arabica,Mexico,763.0,2012,Washed,7.42,7.33,7.25,7.17,7.25,7.42,10.0,10.0,0.13,10.0,0,1,8,81.42,81.22153333333331,-0.19846666666668966,-0.0576681682728142,-1.1799388386913297,0.08274651068652357,-0.19172832933138836,-0.14893396025133993,-0.020212870747038713,0.14577236742372268,0.07362902323599906,0.0001126801761405677,0.342272588124978,7.420108447792956e-05,0.0024329755760648247,0.00020559045642082956,flavor
Arabica,Kenya,1600.0,2017,Washed,7.17,7.58,7.5,7.5,8.0,7.75,10.0,10.0,0.11,10.0,0,0,3,80.92,83.09623333333323,2.1762333333332293,-0.28648921904051655,0.3797355562474437,-0.028586830021758956,-0.11969230819399143,0.21203783913927468,0.4270741587411592,0.0918879467980474,0.10011105936940784,-0.0062095084043099925,0.13686575561268816,0.002150232800553533,0.002094392117250379,0.012484694305165434,balance
Arabica,Taiwan,1000.0,2013,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,0.11,10.0,0,0,0,83.58,83.8226000000001,0.2426000000000954,0.0880873455627715,0.6390148697371013,0.4291576872327055,0.12815489136626326,-0.07254885376974174,0.08898207556751311,0.10110498016454202,0.09756294353468918,0.0009967284847178107,0.14739690184819465,0.0009886232684305264,0.0020629965282602317,-0.0011307533883651098,flavor
Arabica,Taiwan,968.0,2016,Washed,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,0.1,10.0,0,0,4,84.08,83.74779999999981,-0.332200000000185,-0.05159771980313855,0.495173549103557,0.19984369613997247,-0.005950912361461695,0.13113134517117564,0.44449654428623053,0.10595834947194632,0.09370382958931225,-0.002793956214573424,0.14640013538153096,0.003067506604275724,0.0018492626948102063,0.01374880607344593,flavor
Arabica,United States (Hawaii),130.06425600000003,2009,Natural,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,0.0,10.0,0,0,0,86.0,85.31493333333333,-0.6850666666666712,0.22299793429898435,1.6478468865540135,0.2765382768509774,0.1446776894886535,0.06148938248372381,0.4272748381020403,0.0955021103456043,0.12731602155330077,0.002910837072666033,0.14463630740986574,0.0005138731204371018,-0.000744969220973522,-0.00879541858890114,flavor
Arabica,Colombia,1775.0,,Washed,7.42,7.58,6.92,7.08,7.25,8.0,10.0,10.0,0.08,10.0,0,0,0,81.75,82.05809999999974,0.30809999999974025,-0.12949440164946094,0.5395833531581307,-0.7134478901831589,-0.38726444198167215,-0.22914656852155854,0.4853088925837275,0.07879177981560231,0.0963376455109019,-0.0014947762105480952,0.1466626051633451,0.0023429053132452936,0.002806648793175914,-0.00565531565464104,aftertaste
Arabica,Colombia,1600.0,,Washed,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,0.06,10.0,0,0,1,83.75,83.12923333333325,-0.6207666666667535,0.10627042285955028,0.47686510680983146,-0.3032988417623079,-0.3371878285856904,0.06691220135657136,0.6077680355330622,0.08805909003047695,0.09864163733851872,0.006861154693111633,0.1352704501174446,0.0046406733039527455,0.0033258130829851833,0.002335854692922071,balance
Arabica,United States (Hawaii),,2012,Natural,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,0.11,10.0,0,1,9,84.08,83.77293333333324,-0.3070666666667563,0.10086575082673678,0.7105932370132118,0.5196640434742313,0.08101548075398947,-0.11644124661690325,0.47202165522715894,-0.47401054552368643,0.09409773352599843,0.01782166997789387,0.14676393789032938,0.002111150632076321,0.0002003415906710164,0.045460560698715444,flavor
Arabica,Mexico,1300.0,2015,Washed,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,0.12,10.0,0,2,8,82.92,83.0251666666666,0.10516666666660512,0.14459876722426446,0.49904425231271016,-0.04967720304944685,-0.1287917105859365,0.1591237920219549,-0.08340937126224152,0.09067549514801224,0.09655534887191114,-0.0031791269427073094,0.13487806864700091,0.0009466633109338028,-0.008388510413383118,2.06375206752636e-05,flavor
Arabica,Colombia,1550.0,2014,Natural,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,0.12,10.0,0,0,3,83.92,84.27956666666648,0.3595666666664812,-0.010435970059095074,0.9962762307139783,0.17995396980990144,0.04582867137567643,0.07602779173458804,0.44080777986523595,0.09713906270566001,0.11221304106987134,-0.0072676365226128714,0.14643437948571858,0.011275668007827137,0.0010530497865202763,0.017491064830495836,flavor
Arabica,Taiwan,650.0,2012,Washed,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,0.12,10.0,0,0,0,82.0,82.2269666666666,0.22696666666659837,-0.12529621516705625,0.4291950211625415,-0.16468563195033856,-0.1108629758034274,0.21827124864381892,-0.10945823923973363,-0.3180813915926364,0.09798849880103133,-0.0007079786170868104,0.13843367763271752,0.0008802010013163952,0.001376503274343859,-0.0028556153417457395,flavor
Arabica,Haiti,1020.0,2010,Washed,6.92,6.75,7.08,7.17,7.33,6.67,10.0,8.67,0.08,5.33,0,1,0,72.33,73.06386666666667,0.7338666666666711,-0.35533386833650676,-3.398769637671564,-0.0004651869849341578,0.018658782634677965,-0.030912978593103223,-0.8964623678748097,0.19107541976557982,-0.2620080535126452,-0.04703511261544604,-4.3479770753408715,0.0014585314200461095,0.019482036861627725,-0.0006133869483244391,clean_cup
Arabica,Mexico,1300.0,2012,Natural,7.25,7.25,7.0,7.5,7.33,7.42,8.0,10.0,0.13,9.33,0,31,47,78.33,78.76529999999981,0.4352999999998133,-0.08381832237726004,-1.7607251159788824,-0.32191182300908283,0.036563528689011554,-0.05825733560630351,-0.014900267021942337,-1.3064762278632642,0.11014464063686884,0.025200982867995533,0.06349699787179505,0.0017386999798991076,-0.06591251028367068,-0.0326128117680787,flavor
Arabica,Mexico,1100.0,2012,Washed,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,0.12,10.0,0,0,10,81.5,81.68256666666655,0.18256666666654553,-0.055447504467228216,-1.5758395181374136,0.10898929161368875,-0.05271394253116585,-0.1890278794854667,0.6354989707680077,0.15964573256154466,0.07665381735224755,-0.0023030729922104295,0.41130769844427734,0.0011773234605129987,0.004660080502764161,-0.012803894285811628,flavor
Arabica,Kenya,1580.0,2012,Washed,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,0.0,10.0,0,0,5,85.0,84.91553333333339,-0.08446666666661429,0.03154959217613256,1.08851783361183,0.3733603179190749,0.30221249625035423,0.14828890646037884,0.41573434772420126,0.0916550285915353,0.12378092694226075,0.0034390165391273023,0.1518382406290151,0.005440442032667531,-9.482900756416586e-05,0.007041449601374771,flavor
Arabica,Taiwan,750.0,2016,Natural,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,0.0,10.0,0,0,0,83.75,83.69686666666688,-0.05313333333312187,0.04220634465330802,0.5195302699074683,0.10434554490511368,-0.04426922197301673,0.10014857116259764,0.4569103246721177,0.10910538129819851,0.0920633255525674,0.009864673050353302,0.14114360317277908,0.0048123857332755746,0.0013384035617647395,-0.013102502892769223,flavor
Arabica,Laos,1250.0,2015,Washed,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,0.12,10.0,0,0,0,82.0,81.95533333333312,-0.04466666666688468,-0.13693428566249202,0.1801888272441203,-0.22631539720858687,-0.19903224669918518,-0.04869327463841466,-0.0844959814493053,0.07796827289164208,0.08795310764989156,-0.005722895748248506,0.13457206006404965,-0.002153160039040443,0.00203239356865088,0.003196349497322683,aftertaste
Arabica,"Tanzania, United Republic Of",1400.0,2014,Washed,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,0.13,10.0,0,0,0,84.17,84.14976666666671,-0.020233333333294468,0.1813061818452829,0.6628212919198375,0.4165134066762844,0.11824658681115988,0.12324390121441697,0.12182525948352343,0.11090312335997081,0.09600102693922523,-0.0005124845547744123,0.1479898537771526,0.000645395890283039,0.0019401364586163043,-0.003926577017236336,flavor
Arabica,Mexico,1400.0,2012,Washed,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,0.1,10.0,0,0,4,84.25,84.34833333333343,0.09833333333342864,0.09584920956036792,1.2809710491997892,0.129882656424044,0.036774935229120495,-0.10032354797871108,0.3755394750322437,0.09120277427469309,0.12254634613152791,-0.0011644771833536807,0.14052463499472648,0.0013990467500183416,0.0006540594651933704,0.0017076075707773326,flavor
Arabica,"Tanzania, United Republic Of",1400.0,2012,Washed,7.67,7.5,7.33,7.25,7.58,7.75,10.0,10.0,0.11,10.0,0,0,5,82.83,82.72969999999978,-0.10030000000021744,0.052417086294557345,0.2376213410001631,-0.22161592292770577,-0.33142582756894795,0.07307307746913752,0.42959061414666716,0.08521308571586349,0.09663717559166918,-0.007454008488811469,0.13579884639789364,0.004157071376397644,0.003217993090916097,-0.000300095960725901,balance
